FID	IID	PalmiticAcid	LinoleicAcid	AlphaLinolenicAcid	OleicAcid
W6-26005	W6-26005	0.104042664549204	-9.49379484919059	1.55900606603222	1.14648589836363
PI-360279	PI-360279	-0.0169810274080245	4.01808634735408	0.71720558710028	-1.37697489803747
W6-26006	W6-26006	1.63731662475389	3.8232719978973	5.31004970781984	-0.752843703306751
W6-26007	W6-26007	0.348523341990545	12.2295808617166	-1.5194199089071	-1.43997082597908
W6-26008	W6-26008	-0.0685761794330258	-1.43930285756407	4.43094319787685	-0.124009206227898
W6-26009	W6-26009	-0.430182885707563	1.0660704699846	8.08918950457265	-1.62033014538871
W6-26010	W6-26010	1.48644745370575	-1.72766320315868	-0.946079351716837	-0.00762678438815314
W6-26011	W6-26011	0.076682735270367	-3.20901354437524	1.51764860069608	0.179515812867093
W6-26012	W6-26012	-2.85704849494854	-2.66229844545095	0.65399385204378	1.84865719224242
W6-26014	W6-26014	-0.768499103853777	-4.81389925510774	5.12758265589058	0.0987465802979199
W6-26015	W6-26015	0.499053254135557	0.112515139588725	6.0474032883487	2.12910426318125
W6-26016	W6-26016	-1.8259686865914	-2.88416944539966	18.0380186009638	1.46339446084885
PI-360583	PI-360583	-1.06973957337365	0.948838085501521	-3.8746498708111	-0.211175167579277
W6-26017	W6-26017	-0.102050215216853	3.50114446989262	1.21525718033542	1.15200608160031
W6-26018	W6-26018	-1.15841757256474	-4.11716286831053	-1.37461832787197	-0.547837734252573
W6-26022	W6-26022	-0.498127991932423	4.86099818740469	7.03839154233034	0.0731213818900416
W6-26023	W6-26023	-1.06923359933731	21.6062574133687	-6.54320437500602	-1.57272651818376
W6-26024	W6-26024	0.354486686538517	4.3413227378308	-11.76031395679	1.16993234991684
W6-26025	W6-26025	1.23102246656019	1.47562227166681	-0.766589747144978	1.35269406506287
W6-26026	W6-26026	-0.264263364208373	-3.719692518978	-0.549282389114612	-0.440136092333091
W6-26027	W6-26027	-0.826626092161834	4.47614333757906	-0.225875195332376	-1.41950801546456
W6-26028	W6-26028	-0.59754630504838	2.0390331933987	-4.01464466750465	-0.252730513690076
W6-26029	W6-26029	-0.24672789088791	-8.62455885133372	1.2746667155157	3.05007720118722
PI-450727	PI-450727	0.440625425589513	0.593025176654941	-3.30189578641729	-0.483937571946099
W6-26030	W6-26030	0.183371750662682	-0.767027373146807	-10.1155034398197	0.482332997400711
W6-26031	W6-26031	-0.2325836283234	-6.10891273543436	-6.49428840474151	1.99431920192252
W6-26032	W6-26032	-0.0682764415849951	5.61682288723972	-3.75463688551055	0.78584989556651
W6-26033	W6-26033	0.353391076670796	2.02826879297569	-8.68683090554947	-1.19140425917977
W6-26034	W6-26034	-0.80399578756476	-0.943943127240926	8.84037947660998	-1.63828388166796
W6-26035	W6-26035	-0.667416042537259	-7.5669824650525	1.48382864425405	-1.25421486027868
W6-26036	W6-26036	0.304449189478182	0.0115299613214462	9.59531596906035	0.229757642086616
W6-26037	W6-26037	-0.396365739672185	0.231536255434612	-1.97770152729041	-1.64759947277992
W6-26038	W6-26038	-0.623844043488604	-0.273123886611811	0.134848329989207	0.864807817532858
W6-26039	W6-26039	1.10780085131626	-3.33331804754261	-1.45973654169171	-0.252213504693379
